State,District,LastName,VoteShare
AL,1,Kennedy,36.8
AL,1,Byrne,63.2
AL,2,Isner,38.5
AL,2,Roby,61.5
AL,3,Hagan,36.2
AL,3,Rogers,63.8
AL,4,Auman,20.1
AL,4,Aderholt,79.9
AL,5,Joffrion,38.9
AL,5,Brooks,61.1
AL,6,Kline,30.8
AL,6,Palmer,69.2
AL,7,Sewell,0.0
AK,1,Young,53.3
AZ,1,O'Halleran,53.8
AZ,1,Rogers,46.2
AZ,2,Kirkpatrick,54.7
AZ,2,Marquez Peterson,45.3
AZ,3,Grijalva,63.9
AZ,3,Pierson,36.1
AZ,4,Brill,30.5
AZ,4,Gosar,68.2
AZ,5,Greene,40.6
AZ,5,Biggs,59.4
AZ,6,Malik,44.8
AZ,6,Schweikert,55.2
AZ,7,Gallego,85.8
AZ,8,Tipirneni,44.5
AZ,8,Lesko,55.5
AZ,9,Stanton,61.1
AZ,9,Ferrara,38.9
AR,1,Desai,28.8
AR,1,Crawford,68.9
AR,2,Tucker,45.8
AR,2,Hill,52.1
AR,3,Mahony,32.6
AR,3,Womack,64.8
AR,4,Shamel,31.3
AR,4,Westerman,66.8
CA,1,Denney,45.1
CA,1,LaMalfa,54.9
CA,2,Huffman,77.0
CA,2,Mensing,23.0
CA,3,Garamendi,58.0
CA,3,Schaupp,42.0
CA,4,Morse,45.9
CA,4,McClintock,54.1
CA,5,Thompson,79.0
CA,6,Matsui,80.4
CA,7,Bera,55.0
CA,7,Grant,45.0
CA,8,Cook,60.0
CA,9,McNerney,56.5
CA,9,Livengood,43.5
CA,10,Harder,52.2
CA,10,Denham,47.8
CA,11,DeSaulnier,74.1
CA,11,Fitzgerald,25.9
CA,12,Pelosi,86.8
CA,12,Remmer,13.2
CA,13,Lee,88.4
CA,14,Speier,79.2
CA,14,Osmena,20.8
CA,15,Swalwell,73.0
CA,15,Peters,27.0
CA,16,Costa,57.5
CA,16,Heng,42.5
CA,17,Khanna,75.3
CA,17,Cohen,24.7
CA,18,Eshoo,74.5
CA,18,Russell,25.5
CA,19,Lofgren,73.8
CA,19,Aguilera,26.2
CA,20,Panetta,81.4
CA,21,Cox,50.4
CA,21,Valadao,49.6
CA,22,Janz,47.3
CA,22,Nunes,52.7
CA,23,Matta,36.3
CA,23,McCarthy,63.7
CA,24,Carbajal,58.1
CA,24,Fareed,41.9
CA,25,Hill,54.4
CA,25,Knight,45.6
CA,26,Brownley,61.9
CA,26,Sabato,38.1
CA,27,Chu,79.2
CA,28,Schiff,78.4
CA,28,Nalbandian,21.6
CA,29,Cardenas,80.6
CA,29,Bernal,19.4
CA,30,Sherman,73.4
CA,30,Reed,26.6
CA,31,Aguilar,58.7
CA,31,Flynn,41.3
CA,32,Napolitano,68.8
CA,32,Scott,31.2
CA,33,Lieu,70.0
CA,33,Wright,30.0
CA,34,Gomez,72.5
CA,35,Torres,69.4
CA,35,Valiente,30.6
CA,36,Ruiz,58.7
CA,36,Pelzer,41.3
CA,37,Bass,89.1
CA,37,Bassilian,10.9
CA,38,Sanchez,68.9
CA,38,Downing,31.1
CA,39,Cisneros,51.6
CA,39,Kim,48.4
CA,40,Roybal-Allard,77.3
CA,41,Takano,64.8
CA,41,Smith,35.2
CA,42,Peacock,43.3
CA,42,Calvert,56.7
CA,43,Waters,77.7
CA,43,Navarro,22.3
CA,44,Barragan,68.3
CA,45,Porter,52.1
CA,45,Walters,47.9
CA,46,Correa,69.1
CA,46,Lambert,30.9
CA,47,Lowenthal,64.9
CA,47,Briscoe,35.1
CA,48,Rouda,53.6
CA,48,Rohrabacher,46.4
CA,49,Levin,56.4
CA,49,Harkey,43.6
CA,50,Campa-Najjar,48.2
CA,50,Hunter,51.8
CA,51,Vargas,71.1
CA,51,Hidalgo,28.9
CA,52,Peters,63.8
CA,52,Qudrat,36.2
CA,53,Davis,69.0
CA,53,Murtaugh,31.0
CO,1,DeGette,73.8
CO,1,Stockham,23.0
CO,2,Neguse,60.3
CO,2,Yu,33.6
CO,3,Mitsch Bush,43.6
CO,3,Tipton,51.5
CO,4,McCormick,39.4
CO,4,Buck,60.6
CO,5,Spaulding,39.3
CO,5,Lamborn,57.0
CO,6,Crow,54.1
CO,6,Coffman,42.9
CO,7,Perlmutter,60.4
CO,7,Barrington,35.4
CT,1,Larson,63.7
CT,1,Nye,35.2
CT,2,Courtney,62.1
CT,2,Postemski,35.5
CT,3,DeLauro,64.4
CT,3,Cadena,35.6
CT,4,Himes,60.9
CT,4,Arora,39.1
